Reaction,Potential,Symbol,Name,Atomic_Number,Atomic_Mass,Atomic_radius,Covalent_radius,Electrons,Electron_affinity,Period,group,group_name,Electron,environments_ox,environments_red
Br2 + 2e- → 2Br-,1.065,Br,Bromine,35,79.904,115.0,114.0,35,3.3635882000000006,4,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,0
HBrO + H+ + 2e- → Br- + H2O,1.34,Br,Bromine,35,79.904,115.0,114.0,35,3.3635882000000006,4,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
BrO3- + 6H+ + 6e- → Br- + 3H2O,1.44,Br,Bromine,35,79.904,115.0,114.0,35,3.3635882000000006,4,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",6,-1,0
BrO3- + 5H+ + 4e- → HBrO + 2H2O,1.45,Br,Bromine,35,79.904,115.0,114.0,35,3.3635882000000006,4,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",4,-1,0
2BrO3- + 12H+ + 10e- → Br2 + 6H2O,1.52,Br,Bromine,35,79.904,115.0,114.0,35,3.3635882000000006,4,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",10,-1,0
2HBrO + 2H+ + 2e- → Br2 + 2H2O,1.59,Br,Bromine,35,79.904,115.0,114.0,35,3.3635882000000006,4,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
HCOO- + 2H2O + 2e- → HCHO + 3OH-,-1.07,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,0,1
CNO- + H2O + 2e- → CN- + 2OH-,-0.76,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,0,1
2CO2 + 2H+ + 2e- → H2C2O4,-0.49,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CO2 + 2H+ + 2e- → HCOOH,-0.2,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CO2 + 2H+ + 2e- → CO + H2O,-0.12,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CH3COOH + 2H+ + 2e- → CH3CHO + H2O,-0.12,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
HCOOH + 2H+ + 2e- → HCHO + H2O,-0.01,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CO2 + N2 + 6H+ + 6e- → CO(NH2)2 + H2O,0.1,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",6,-1,0
C + 4H+ + 4e- → CH4,0.132,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
HCOOH + 4H+ + 4e- → CH3OH + H2O,0.145,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
HCOO- + 3H+ + 2e- → HCHO + H2O,0.167,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CH3CHO + 2H+ + 2e- → C2H5OH,0.19,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CO32- + 6H+ + 4e- → HCHO + 2H2O,0.197,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
HCOO- + 5H+ + 4e- → CH3OH + H2O,0.199,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
CO32- + 8H+ + 6e- → CH3OH + 2H2O,0.209,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",6,-1,0
CO32- + 3H+ + 2e- → HCOO- + H2O,0.227,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
HCHO + 2H+ + 2e- → CH3OH,0.232,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
2HCNO + 2H+ + 2e- → (CN)2 + 2H2O,0.33,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
HCNO + 2H+ + 2e- → HCN + H2O,0.35,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
(CN)2 + 2H+ + 2e- → 2HCN,0.37,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
2CO32- + 4H+ + 2e- → C2O42- + 2H2O,0.441,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
C2H5OH + 2H+ + 2e- → C2H6 + H2O,0.46,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
CO32- + 6H+ + 4e- → C + 3H2O,0.475,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
CO + 6H+ + 6e- → CH4 + H2O,0.497,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",6,-1,0
CH3OH + 2H+ + 2e- → CH4 + H2O,0.59,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
